City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,alta floresta,-9.8756,-56.0861,80.56,79,55,3.24,BR,1638133231
340,shieli,44.1667,66.75,35.76,33,0,7.11,KZ,1638133236
341,jeremie,18.65,-74.1167,79.32,77,46,4.83,HT,1638133239
342,beringovskiy,63.05,179.3167,3.65,96,98,5.01,RU,1638133241
343,akyab,20.15,92.9,73.83,68,84,6.46,MM,1638133243
344,przhevalskoye,55.5093,31.8482,31.91,99,100,4.38,RU,1638133246
345,san cristobal,7.7669,-72.225,79.7,58,57,2.3,VE,1638133248
346,tuy hoa,13.0833,109.3,75.06,96,100,3.56,VN,1638132957
347,bonthe,7.5264,-12.505,80.1,80,6,6.06,SL,1638133253
348,goderich,43.7501,-81.7165,36.01,84,100,15.88,CA,1638133219
349,gravdal,68.1214,13.5031,28.08,93,75,2.3,NO,1638133262
350,boli,45.7667,130.5167,35.96,92,100,9.71,CN,1638133265
351,olinda,-8.0089,-34.8553,81.48,75,47,10.89,BR,1638133267
352,bolshaya martynovka,47.271,41.6679,50.79,68,100,11.16,RU,1638133270
353,metapan,14.3333,-89.45,84.87,39,96,7.74,SV,1638133273
354,ponta delgada,37.7333,-25.6667,59.72,77,75,8.05,PT,1638133275
355,fiesole,43.8049,11.2941,52.66,87,75,3.44,IT,1638133278
356,verkh-usugli,52.7,115.1667,1.29,94,100,1.92,RU,1638133280
357,dhidhdhoo,6.8833,73.1,79.41,82,100,8.81,MV,1638133283
358,inuvik,68.3499,-133.7218,-8.99,96,100,15.7,CA,1638133285
359,beloha,-25.1667,45.05,64.02,66,4,14.9,MG,1638133288
360,alcazar de san juan,39.3901,-3.2083,39.85,67,6,14.38,ES,1638133292
361,kanye,-24.9667,25.3327,71.22,50,0,8.55,BW,1638133295
362,pocatello,42.8713,-112.4455,53.78,31,3,6.6,US,1638133297
363,tucuma,-0.1833,-50.05,81.5,76,100,7.83,BR,1638133300
364,port macquarie,-31.4333,152.9167,65.55,80,100,6.22,AU,1638133302
365,herat,34.5,62.0,50.59,48,97,6.8,AF,1638133230
366,la mana,-0.9333,-79.2167,90.61,83,99,1.7,EC,1638133307
367,gigmoto,13.7796,124.39,80.08,88,96,9.64,PH,1638133309
368,orichi,58.4036,49.0572,34.02,98,100,11.16,RU,1638133312
369,talnakh,69.4865,88.3972,-16.1,98,72,2.37,RU,1638133314
370,badvel,14.75,79.05,72.25,94,100,3.71,IN,1638133317
371,vuktyl,63.8567,57.3094,23.76,95,100,10.51,RU,1638133319
372,monrovia,6.3005,-10.7969,78.57,76,11,7.72,LR,1638133220
373,vanavara,60.34,102.2797,7.25,97,100,3.83,RU,1638133324
374,labuan,5.2767,115.2417,75.36,75,100,6.91,MY,1638133326
375,sorland,67.667,12.6934,31.86,60,100,14.76,NO,1638133329
376,ambilobe,-13.2,49.05,75.61,87,68,2.68,MG,1638133331
377,oum hadjer,13.2954,19.6966,80.51,12,4,9.53,TD,1638133336
378,zambezi,-13.5432,23.1047,65.34,95,65,4.09,ZM,1638133338
379,bani walid,31.7566,13.9942,63.07,60,25,15.5,LY,1638133341
380,georgetown,5.4112,100.3354,76.95,88,20,0.0,MY,1638133177
381,olafsvik,64.8945,-23.7142,41.23,95,100,11.1,IS,1638133348
382,coroico,-16.1889,-67.7271,68.02,95,100,3.62,BO,1638133351
